passer_id,passer,posteam
00-0023541,K.Orton,"BUF, CHI, DAL, DEN, KC"
00-0013682,K.Richardson,BAL
00-0015700,K.Stewart,"BAL, CHI, PIT"
00-0030085,K.Stills,"HOU, MIA"
00-0019278,K.Thompson,CLE
00-0036913,K.Toney,NYG
00-0017127,K.Walter,"CAR, NE"
00-0017200,K.Warner,"ARI, LA, NYG"
00-0022922,K.Winslow,CLE
00-0000098,L.Aguiar,CHI
00-0030496,L.Bell,PIT
00-0036364,L.Bowden,MIA
00-0027804,L.Brown,BUF
00-0034437,L.Cooke,JAX
00-0032449,L.Edwards,NYJ
00-0022910,L.Evans,BUF
00-0034412,L.Falk,NYJ
00-0022921,L.Fitzgerald,ARI
00-0033856,L.Fournette,TB
00-0034796,L.Jackson,BAL
00-0008566,L.Johnson,NE
00-0008568,L.Johnson,CHI
00-0021976,L.Johnson,KC
00-0030524,L.Jones,PIT
00-0020462,L.Jordan,NYJ
00-0022864,L.McCown,"CLE, JAX, NO, TB"
00-0023310,L.Moore,NO
00-0025559,L.Naanee,"CAR, LAC"
00-0015242,L.Smith,"MIA, NO"
00-0031260,L.Thomas,"ARI, BUF, WAS"
00-0022057,L.Toefield,JAX
00-0020536,L.Tomlinson,"LAC, NYJ"
00-0017218,L.Warren,"DET, NE"
00-0024332,L.Washington,"NYJ, SEA"
00-0034438,L.Woodside,TEN
00-0020214,M.Allen,NYG
00-0000251,M.Alstott,TB
00-0023544,M.Barber,DAL
00-0030533,M.Barkley,"BUF, CHI, PHI"
00-0000849,M.Bartrum,PHI
00-0001157,M.Berger,"MIN, NO"
00-0001272,M.Bishop,NE
00-0001477,M.Booker,"CHI, MIA"
00-0023474,M.Bradley,KC
00-0002110,M.Brunell,"JAX, NO, NYJ, WAS"
00-0019599,M.Bulger,LA
00-0025487,M.Bush,LV
00-0023662,M.Cassel,"DAL, DET, KC, MIN, NE, TEN"
00-0022725,M.Clayton,TB
00-0023457,M.Clayton,BAL
00-0031716,M.Darr,BUF
00-0032496,M.Farley,TEN
00-0005092,M.Faulk,LA
00-0026349,M.Flynn,"GB, LV, SEA"
00-0026184,M.Forte,CHI
00-0034829,M.Gesicki,MIA
00-0030520,M.Glennon,"ARI, CHI, JAX, LV, NYG, TB"
00-0006223,M.Gramatica,TB
00-0029878,M.Gray,MIA
00-0019576,M.Green,TEN
00-0030999,M.Grice,ARI
00-0024824,M.Gutierrez,"KC, NE"
00-0033400,M.Haack,MIA
00-0024358,M.Hagans,KC
00-0027347,M.Hall,ARI
00-0007059,M.Hartsell,CHI
00-0007091,M.Hasselbeck,"GB, IND, SEA, TEN"
00-0030391,M.James,TB
00-0023456,M.Jones,JAX
00-0036972,M.Jones,NE
00-0024275,M.Jones-Drew,JAX
00-0027722,M.Kafka,PHI
