receiver_id,receiver,posteam
00-0022156,"B.Johnson, Bry.Johnson","ARI, DET, HOU, SF"
00-0022232,B.Jones,JAX
00-0023531,B.Jones,"SF, TEN"
00-0036556,B.Jordan,HOU
00-0009237,B.Kinchen,CAR
00-0032139,B.Koyack,JAX
00-0009443,B.Kozlowski,"ATL, WAS"
00-0027681,B.LaFell,"CAR, CIN, LV, NE"
00-0022177,B.Leftwich,JAX
00-0025439,B.Leonard,"CIN, LA, NO, TB"
00-0029755,B.Leonhardt,"LV, SF"
00-0022097,B.Lloyd,"CHI, DEN, LA, NE, SF, WAS"
00-0024681,B.London,MIA
00-0020342,B.Manumaleuna,"CHI, LA, LAC"
00-0031818,B.Marquez,LA
00-0024334,B.Marshall,"CHI, DEN, MIA, NYG, NYJ, SEA"
00-0032964,B.Marshall,"PHI, WAS"
00-0029528,B.Massie,CHI
00-0010550,B.Matthews,TEN
00-0034855,B.Mayfield,CLE
00-0022135,B.McMullen,"MIN, PHI, SEA"
00-0018956,B.Meester,JAX
00-0022403,B.Middleton,DET
00-0031626,B.Mihalik,DET
00-0011236,B.Miller,"DEN, HOU, NO"
00-0011241,B.Miller,PHI
00-0026712,B.Miller,LA
00-0028149,B.Miller,"JAX, SF"
00-0033069,B.Miller,HOU
00-0011341,B.Milne,"CIN, NO"
00-0022773,B.Miree,GB
00-0011392,B.Mitchell,GB
00-0011399,B.Mitchell,"NYG, PHI, WAS"
00-0011675,B.Morris,KC
00-0027135,B.Myers,"LV, NYG, TB"
00-0020090,B.Natkin,TEN
00-0024463,B.Obomanu,"NYJ, SEA"
00-0031277,B.Oliver,LAC
00-0012370,B.Olivo,DET
00-0023788,B.Ortega,NO
00-0029682,B.Osweiler,HOU
00-0032089,B.Parker,"DEN, KC"
00-0012603,B.Parmalee,NYJ
00-0026931,B.Pascoe,"ATL, NYG"
00-0025602,B.Patrick,ARI
00-0032054,B.Perriman,"BAL, CLE, NYJ, TB"
00-0026996,B.Pettigrew,DET
00-0022447,B.Pierce,DAL
00-0029264,B.Pierce,"BAL, JAX"
00-0028064,B.Powell,NYJ
00-0034646,B.Powell,"ATL, DET"
00-0036011,B.Price,DET
00-0034297,B.Pringle,KC
00-0021969,B.Pyatt,IND
00-0029640,B.Quick,"LA, WAS"
00-0025409,B.Quinn,"CLE, KC"
00-0029384,B.Rainey,"BAL, CLE, NYG, TB"
00-0017012,Bra.Walker,DET
00-0030743,B.Reedy,TB
00-0027012,B.Robiskie,"ATL, CLE, DET"
00-0022924,B.Roethlisberger,PIT
00-0028602,B.Saine,GB
00-0022449,B.Sams,BAL
00-0031413,B.Sankey,TEN
00-0023612,B.Scaife,TEN
00-0034432,B.Scarbrough,DET
00-0014489,B.Schroeder,"DET, GB, TB"
00-0030486,B.Schwenke,TEN
00-0026941,B.Scott,"BAL, CIN"
00-0034414,B.Scott,PHI
00-0014729,B.Shaw,"BUF, JAX, LAC, PIT"
00-0036862,B.Skowronek,LA
00-0029315,B.Smelley,CLE
00-0024318,B.Smith,"BUF, NYJ, PHI"
00-0035217,B.Snell,PIT
00-0029091,B.Sowell,CHI
00-0015452,B.Spence,NYJ
00-0019681,B.St,CIN
00-0015507,B.Stablein,DET
00-0019907,B.Steele,GB
00-0015723,B.Still,"ATL, LAC"
00-0015754,B.Stokley,"BAL, DEN, IND, NYG, SEA"
00-0024625,B.Storer,TB
00-0026357,B.Swain,"GB, SF"
00-0027057,B.Tate,"BUF, CIN, NE"
00-0027890,B.Tate,"CLE, HOU, PIT"
00-0032724,B.Treggs,"CLE, PHI"
00-0022916,B.Troupe,TEN
00-0028984,B.Tyms,"CLE, NE"
00-0019456,B.Urlacher,CHI
00-0022555,B.Utecht,"CIN, IND"
00-0019041,B.Volek,TEN
00-0022144,B.Wade,"CHI, KC, MIN, TEN"
00-0027595,B.Walters,"JAX, LAC, SEA"
00-0022943,B.Watson,"BAL, CLE, NE, NO"
00-0021216,B.Westbrook,"PHI, SF"
00-0027477,B.White,IND
00-0032593,B.Wilds,NYJ
00-0029793,B.Williams,"CAR, IND, SEA"
00-0020171,"B.Williams, E.Williams",NO
00-0033434,B.Wilson,TB
00-0036754,B.Wright,DET
00-0019021,B.Yamini,TEN
00-0034052,B.Zylstra,"CAR, MIN"
00-0021006,C.Adams,DEN
00-0000100,C.Ahanotu,MIA
00-0036414,C.Akers,LA
00-0024763,C.Ali,CLE
00-0022704,C.Anderson,LV
00-0026578,C.Anderson,PHI
00-0029854,C.Anderson,"CAR, DEN, LA"
00-0031599,C.Artis-Payne,CAR
00-0000585,C.Bailey,"DEN, WAS"
00-0021213,C.Baker,"NE, NYJ, SEA"
00-0023858,C.Barclay,TEN
00-0034652,C.Batson,TEN
00-0029000,C.Beasley,"BUF, DAL"
00-0034309,C.Beebe,MIN
00-0023439,C.Benson,"CHI, CIN, GB"
00-0034132,C.Blake,ATL
00-0033367,C.Board,"JAX, NYG"
00-0001627,C.Bradford,"DET, GB, HOU"
00-0031273,C.Brate,TB
00-0001719,C.Brazzell,DAL
00-0026745,C.Brinkley,LAC
00-0022092,C.Brown,"HOU, TEN"
00-0031118,C.Brown,CAR
00-0020270,C.Buckhalter,"DEN, PHI"
00-0002544,C.Calloway,"ATL, NE"
00-0026190,C.Campbell,ARI
00-0019632,C.Carlisle,DEN
00-0033594,C.Carson,SEA
00-0002721,C.Carter,"MIA, MIN"
00-0033338,C.Carter,"CIN, MIA"
00-0020446,C.Chambers,"KC, LAC, MIA"
00-0002876,C.Chandler,ATL
00-0028051,C.Chekwa,LV
00-0028112,C.Clay,"ARI, BUF, MIA"
00-0036326,C.Claypool,PIT
00-0003103,C.Cleeland,"LA, NE, NO"
00-0033725,C.Clement,"DAL, PHI"
00-0026669,C.Cloherty,"IND, JAX"
00-0028550,C.Cochart,CIN
00-0027069,C.Coffman,"ATL, CIN, SEA, TEN"
00-0019661,C.Cole,DEN
00-0019038,C.Coleman,TEN
00-0019704,C.Coleman,TB
00-0021028,C.Coleman,BUF
00-0032966,C.Coleman,"CLE, NYG"
00-0003271,C.Collins,MIA
00-0032128,C.Conley,"HOU, JAX, KC"
00-0003396,C.Conway,"CHI, LAC, NYJ, SF"
00-0022738,C.Cooley,WAS
00-0032795,C.Core,"CIN, NYG"
00-0035310,C.Cox,MIA
00-0022886,C.Cramer,"MIA, TEN"
00-0019093,C.Crawford,CAR
00-0003715,C.Crumpler,MIN
00-0026544,C.Daniel,CHI
00-0022434,C.Davis,PIT
00-0025417,C.Davis,LAC
00-0025794,C.Davis,NYJ
00-0033871,C.Davis,"NYJ, TEN"
00-0029764,"C.Davis, Co.Davis","JAX, LA"
00-0024698,C.Dawson,IND
00-0004304,C.Dillon,"CIN, NE"
00-0004386,C.Doering,"DEN, PIT, WAS"
00-0034681,C.Edmonds,ARI
00-0036360,C.Edwards-Helaire,KC
00-0019207,C.Eitzmann,NE
00-0004916,C.Enis,CHI
00-0032145,C.Erving,KC
00-0004972,C.Evans,BAL
00-0036857,C.Evans,CIN
00-0005060,C.Fann,SF
00-0023547,C.Fason,MIN
00-0005101,C.Fauria,"CAR, NE, SEA, WAS"
00-0031302,C.Fiedorowicz,HOU
00-0021525,C.Fitzsimmons,DET
00-0029697,C.Fleener,"IND, NO"
00-0005348,C.Floyd,NE
00-0029432,C.Ford,MIN
00-0023889,C.Francies,GB
00-0028295,C.Franklin,TB
00-0005620,C.Fuamatu-Ma,"JAX, PIT"
00-0030095,C.Fuller,DET
00-0005779,C.Garner,"LV, SF, TB"
00-0005854,C.Geason,PIT
00-0005860,C.Gedney,ARI
00-0035304,C.Gillaspia,HOU
00-0030992,C.Gillmore,BAL
00-0029614,C.Givens,"BAL, LA"
00-0033921,C.Godwin,TB
00-0031357,C.Goodwin,DAL
00-0030049,C.Gragg,BUF
00-0031731,C.Grant,JAX
00-0029298,C.Gray,KC
00-0033215,C.Grayson,TB
00-0006482,C.Groce,CIN
00-0027419,C.Gronkowski,"DAL, DEN"
00-0027188,C.Hall,"KC, PHI, SF"
00-0032918,C.Ham,MIN
00-0030290,C.Hamilton,"CIN, HOU, PIT"
00-0031732,C.Hamlett,CLE
00-0021460,C.Hankton,JAX
00-0033840,C.Hansen,"HOU, NYJ"
00-0027725,C.Harbor,"DET, JAX, PHI"
00-0028958,C.Harkey,LA
00-0031854,C.Harper,"NE, SF"
00-0007120,C.Hawkins,PIT
00-0025515,Ch.Davis,TEN
00-0029534,C.Helfet,SEA
00-0026197,C.Henne,JAX
00-0023518,C.Henry,CIN
00-0025437,C.Henry,TEN
00-0034766,C.Herndon,"MIN, NYJ"
00-0007357,C.Hetherington,"CAR, LA, LV, SF"
00-0033315,C.Hikutini,SF
00-0024413,Ch.Johnson,IND
00-0030113,"Ch.Johnson, C.Johnson",MIN
00-0028237,C.Hogan,"BUF, CAR, NE, NO, NYJ"
00-0023222,C.Holiday,GB
00-0033386,C.Hollister,TEN
00-0021219,C.Hope,PIT
00-0021424,C.Horn,KC
00-0023615,C.Houston,NYJ
00-0007795,C.Howard,JAX
00-0036555,C.Hubbard,CAR
00-0031045,C.Hyde,"CLE, HOU, JAX, SEA, SF"
00-0027531,C.Ivory,"BUF, JAX, NO, NYJ"
00-0008109,C.Jackson,TEN
00-0019255,C.Jackson,NE
00-0024251,C.Jackson,"DEN, NE"
00-0020484,C.James,MIN
00-0027167,C.Jennings,CLE
00-0008454,C.Johnson,"BUF, NE, PHI"
00-0025389,C.Johnson,DET
00-0026164,C.Johnson,"ARI, NYJ, TEN"
00-0036254,C.Johnson,"JAX, NYG"
00-0020397,"C.Johnson, C.Ochocinco","CIN, NE"
00-0008704,C.Jones,LAC
00-0035553,C.Jones,JAX
00-0008907,C.Jordan,"GB, SEA"
00-0019466,C.Keaton,CIN
00-0034775,C.Kirk,ARI
00-0036290,C.Kmet,CHI
00-0033908,C.Kupp,LA
00-0034593,C.Lacy,DET
00-0036358,C.Lamb,DAL
00-0031344,C.Latimer,"DEN, NYG"
00-0019505,C.Lee,"ARI, GB, TB"
00-0009842,C.Lewis,PHI
00-0022240,C.Lucas,TB
00-0021090,C.Luzar,JAX
00-0031484,C.Manhertz,"CAR, JAX"
00-0010436,C.Martin,PHI
00-0010442,C.Martin,NYJ
00-0026753,C.Martin,"CAR, SEA"
00-0021345,C.Massey,LA
00-0028702,C.Matthews,"BAL, SEA"
00-0033280,C.McCaffrey,CAR
00-0027688,C.McCoy,CLE
00-0033300,C.McDermott,NYJ
00-0034735,C.McElroy,TB
00-0024542,C.McFoy,LV
00-0020804,C.McIntyre,"BUF, NO"
00-0031912,C.Meredith,"CHI, NO"
00-0030432,C.Michael,"DAL, GB, SEA"
00-0027776,C.Mitchell,CLE
